hylak_id,fishnet,fish_id,image_sat,image_id,image_date,cloud_cover,sr_b1_60,sr_b2_60,sr_b3_60,sr_b4_60,sr_b5_60,sr_b7_60,qa_pixel_60,qa_radsat_60,sr_qa_aerosol_60
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220421,2022-04-21,0.03,8556.68,9214.92,10548.96,10767.8,10608.96,7957.6,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220507,2022-05-07,17.7,8604.12,9248.12,10455.88,10696.72,10172.28,7791.24,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220523,2022-05-23,16.24,8578.8,9229.16,10442.64,10662.48,10302.76,7760.64,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220608,2022-06-08,0.43,8727.56,9380.72,10569.2,10906.32,10326.76,7784.52,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220624,2022-06-24,2.73,8393.08,9144.64,10486.64,10834.6,10325.8,7691.16,0,0.0,116.48
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220710,2022-07-10,2.21,8565.68,9330.04,10713.16,11051.32,10547.84,7910.04,0,0.0,154.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220726,2022-07-26,1.02,8558.96,9251.12,10608.76,10869.76,10341.28,7831.12,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20220811,2022-08-11,0.22,8390.4,9152.6,10652.36,10920.96,10555.84,7844.4,0,0.0,147.2
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20221217,2022-12-17,21.52,7955.6,8482.8,9835.68,10145.84,8874.68,7472.12,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230102,2023-01-02,6.21,7703.28,7947.6,8650.48,8703.56,8642.4,7555.12,0,0.0,98.56
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230203,2023-02-03,7.41,7853.84,8111.44,9034.68,9000.76,9283.6,7537.28,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230424,2023-04-24,4.47,8584.68,9292.56,10968.12,11127.36,10487.76,8553.36,0,0.0,126.72
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230526,2023-05-26,1.56,8534.04,9232.08,10777.76,10725.6,10059.48,7434.52,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20230611,2023-06-11,0.02,8970.0,9654.6,11139.2,11128.76,10657.16,7446.84,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_169080_20240121,2024-01-21,4.09,8631.12,9364.16,10708.76,11220.8,10812.0,7408.52,0,0.0,142.08
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20210220,2021-02-20,0.01,7630.04,7888.6,8521.72,8624.08,8810.04,7783.44,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20210308,2021-03-08,0.04,7557.2,7833.32,8613.36,8758.36,8767.92,7597.16,0,0.0,91.36
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20210409,2021-04-09,0.0,7885.88,8257.48,9201.72,9471.64,8861.44,7497.16,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20210425,2021-04-25,0.0,8231.44,8682.08,9832.04,10143.88,9227.16,7457.76,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20210511,2021-05-11,0.01,8389.8,8924.28,10128.84,10495.68,9318.84,7442.4,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20210527,2021-05-27,0.01,8667.8,9325.68,10716.12,11012.72,10063.44,7509.8,0,0.0,93.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20210612,2021-06-12,0.01,8833.8,9532.84,10899.68,11237.92,10200.96,7475.08,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20220428,2022-04-28,40.3,8395.68,9050.36,10415.88,10604.96,10326.84,7781.84,0,0.0,157.44
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20220530,2022-05-30,0.4,8627.92,9192.84,10376.04,10714.12,10217.92,7750.36,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20220615,2022-06-15,1.01,8642.24,9242.08,10453.52,10869.4,10527.6,7820.6,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20220701,2022-07-01,0.0,8621.96,9272.28,10637.76,10991.44,10326.16,7828.64,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20220717,2022-07-17,13.21,8638.2,9252.2,10651.32,10974.56,10332.8,7761.12,0,0.0,90.88
1420766,1,198,Landsat8,LANDSAT/LC08/C02/T1_L2/LC08_170079_20221224,2022-12-24,11.11,7272.84,7860.28,9435.92,9618.96,9972.68,8167.24,0,0.0,198.4
